Month,a,b,T0
1 ,1  ,-2.50353,-2.9901 
2 ,1  ,-2.0004 ,-1.3948 
3 ,1  ,-1.5719 ,0.5473  
4 ,1  ,-1.6527 ,2.0928  
5 ,0.8,-1.7428 ,4.078   
6 ,0.8,-1.7428 ,4.078   
7 ,0.9,-2.3948 ,2.8     
8 ,1  ,-2.8948 ,1.4927  
9 ,1  ,-2.8948 ,1.4927  
10,1  ,-1.6612 ,0.8099 
11,1  ,-2.4907 ,-1.5627
12,1  ,-2.2108 ,-2.5909
