"","x"
"1","EC.Earth3_tasmax_01_reference_ensembleMean_1961_1990"
"2","EC.Earth3_tasmax_02_reference_ensembleMean_1961_1990"
"3","EC.Earth3_tasmax_03_reference_ensembleMean_1961_1990"
"4","EC.Earth3_tasmax_04_reference_ensembleMean_1961_1990"
"5","EC.Earth3_tasmax_05_reference_ensembleMean_1961_1990"
"6","EC.Earth3_tasmax_06_reference_ensembleMean_1961_1990"
"7","EC.Earth3_tasmax_07_reference_ensembleMean_1961_1990"
"8","EC.Earth3_tasmax_08_reference_ensembleMean_1961_1990"
"9","EC.Earth3_tasmax_09_reference_ensembleMean_1961_1990"
"10","EC.Earth3_tasmax_10_reference_ensembleMean_1961_1990"
"11","EC.Earth3_tasmax_11_reference_ensembleMean_1961_1990"
"12","EC.Earth3_tasmax_12_reference_ensembleMean_1961_1990"
"13","EC.Earth3_tasmax_01_ssp126_ensembleMean_2001_2020"
"14","EC.Earth3_tasmax_02_ssp126_ensembleMean_2001_2020"
"15","EC.Earth3_tasmax_03_ssp126_ensembleMean_2001_2020"
"16","EC.Earth3_tasmax_04_ssp126_ensembleMean_2001_2020"
"17","EC.Earth3_tasmax_05_ssp126_ensembleMean_2001_2020"
"18","EC.Earth3_tasmax_06_ssp126_ensembleMean_2001_2020"
"19","EC.Earth3_tasmax_07_ssp126_ensembleMean_2001_2020"
"20","EC.Earth3_tasmax_08_ssp126_ensembleMean_2001_2020"
"21","EC.Earth3_tasmax_09_ssp126_ensembleMean_2001_2020"
"22","EC.Earth3_tasmax_10_ssp126_ensembleMean_2001_2020"
"23","EC.Earth3_tasmax_11_ssp126_ensembleMean_2001_2020"
"24","EC.Earth3_tasmax_12_ssp126_ensembleMean_2001_2020"
"25","EC.Earth3_tasmax_01_ssp126_r15i1p1f1_2001_2020"
"26","EC.Earth3_tasmax_01_ssp126_r1i1p1f1_2001_2020"
"27","EC.Earth3_tasmax_01_ssp126_r4i1p1f1_2001_2020"
"28","EC.Earth3_tasmax_01_ssp126_r6i1p1f1_2001_2020"
"29","EC.Earth3_tasmax_01_ssp126_r9i1p1f1_2001_2020"
"30","EC.Earth3_tasmax_02_ssp126_r15i1p1f1_2001_2020"
"31","EC.Earth3_tasmax_02_ssp126_r1i1p1f1_2001_2020"
"32","EC.Earth3_tasmax_02_ssp126_r4i1p1f1_2001_2020"
