"","x"
"1","CanESM5_pr_01_reference_ensembleMean_1961_1990"
"2","CanESM5_pr_02_reference_ensembleMean_1961_1990"
"3","CanESM5_pr_03_reference_ensembleMean_1961_1990"
"4","CanESM5_pr_04_reference_ensembleMean_1961_1990"
"5","CanESM5_pr_05_reference_ensembleMean_1961_1990"
"6","CanESM5_pr_06_reference_ensembleMean_1961_1990"
"7","CanESM5_pr_07_reference_ensembleMean_1961_1990"
"8","CanESM5_pr_08_reference_ensembleMean_1961_1990"
"9","CanESM5_pr_09_reference_ensembleMean_1961_1990"
"10","CanESM5_pr_10_reference_ensembleMean_1961_1990"
"11","CanESM5_pr_11_reference_ensembleMean_1961_1990"
"12","CanESM5_pr_12_reference_ensembleMean_1961_1990"
"13","CanESM5_pr_01_ssp126_ensembleMean_2001_2020"
"14","CanESM5_pr_02_ssp126_ensembleMean_2001_2020"
"15","CanESM5_pr_03_ssp126_ensembleMean_2001_2020"
"16","CanESM5_pr_04_ssp126_ensembleMean_2001_2020"
"17","CanESM5_pr_05_ssp126_ensembleMean_2001_2020"
"18","CanESM5_pr_06_ssp126_ensembleMean_2001_2020"
"19","CanESM5_pr_07_ssp126_ensembleMean_2001_2020"
"20","CanESM5_pr_08_ssp126_ensembleMean_2001_2020"
"21","CanESM5_pr_09_ssp126_ensembleMean_2001_2020"
"22","CanESM5_pr_10_ssp126_ensembleMean_2001_2020"
"23","CanESM5_pr_11_ssp126_ensembleMean_2001_2020"
"24","CanESM5_pr_12_ssp126_ensembleMean_2001_2020"
"25","CanESM5_pr_01_ssp126_r10i1p1f1_2001_2020"
"26","CanESM5_pr_01_ssp126_r1i1p1f1_2001_2020"
"27","CanESM5_pr_01_ssp126_r2i1p1f1_2001_2020"
"28","CanESM5_pr_01_ssp126_r3i1p1f1_2001_2020"
"29","CanESM5_pr_01_ssp126_r4i1p1f1_2001_2020"
"30","CanESM5_pr_01_ssp126_r5i1p1f1_2001_2020"
"31","CanESM5_pr_01_ssp126_r6i1p1f1_2001_2020"
"32","CanESM5_pr_01_ssp126_r7i1p1f1_2001_2020"
"33","CanESM5_pr_01_ssp126_r8i1p1f1_2001_2020"
"34","CanESM5_pr_01_ssp126_r9i1p1f1_2001_2020"
"35","CanESM5_pr_02_ssp126_r10i1p1f1_2001_2020"
"36","CanESM5_pr_02_ssp126_r1i1p1f1_2001_2020"
"37","CanESM5_pr_02_ssp126_r2i1p1f1_2001_2020"
"38","CanESM5_pr_02_ssp126_r3i1p1f1_2001_2020"
"39","CanESM5_pr_02_ssp126_r4i1p1f1_2001_2020"
"40","CanESM5_pr_02_ssp126_r5i1p1f1_2001_2020"
"41","CanESM5_pr_02_ssp126_r6i1p1f1_2001_2020"
"42","CanESM5_pr_02_ssp126_r7i1p1f1_2001_2020"
"43","CanESM5_pr_02_ssp126_r8i1p1f1_2001_2020"
"44","CanESM5_pr_02_ssp126_r9i1p1f1_2001_2020"
"45","CanESM5_pr_03_ssp126_r10i1p1f1_2001_2020"
"46","CanESM5_pr_03_ssp126_r1i1p1f1_2001_2020"
"47","CanESM5_pr_03_ssp126_r2i1p1f1_2001_2020"
"48","CanESM5_pr_03_ssp126_r3i1p1f1_2001_2020"
"49","CanESM5_pr_03_ssp126_r4i1p1f1_2001_2020"
"50","CanESM5_pr_03_ssp126_r5i1p1f1_2001_2020"
"51","CanESM5_pr_03_ssp126_r6i1p1f1_2001_2020"
"52","CanESM5_pr_03_ssp126_r7i1p1f1_2001_2020"
"53","CanESM5_pr_03_ssp126_r8i1p1f1_2001_2020"
"54","CanESM5_pr_03_ssp126_r9i1p1f1_2001_2020"
"55","CanESM5_pr_04_ssp126_r10i1p1f1_2001_2020"
"56","CanESM5_pr_04_ssp126_r1i1p1f1_2001_2020"
"57","CanESM5_pr_04_ssp126_r2i1p1f1_2001_2020"
"58","CanESM5_pr_04_ssp126_r3i1p1f1_2001_2020"
