"","x"
"1","IPSL.CM6A.LR_tasmin_01_reference_ensembleMean_1961_1990"
"2","IPSL.CM6A.LR_tasmin_02_reference_ensembleMean_1961_1990"
"3","IPSL.CM6A.LR_tasmin_03_reference_ensembleMean_1961_1990"
"4","IPSL.CM6A.LR_tasmin_04_reference_ensembleMean_1961_1990"
"5","IPSL.CM6A.LR_tasmin_05_reference_ensembleMean_1961_1990"
"6","IPSL.CM6A.LR_tasmin_06_reference_ensembleMean_1961_1990"
"7","IPSL.CM6A.LR_tasmin_07_reference_ensembleMean_1961_1990"
"8","IPSL.CM6A.LR_tasmin_08_reference_ensembleMean_1961_1990"
"9","IPSL.CM6A.LR_tasmin_09_reference_ensembleMean_1961_1990"
"10","IPSL.CM6A.LR_tasmin_10_reference_ensembleMean_1961_1990"
"11","IPSL.CM6A.LR_tasmin_11_reference_ensembleMean_1961_1990"
"12","IPSL.CM6A.LR_tasmin_12_reference_ensembleMean_1961_1990"
"13","IPSL.CM6A.LR_tasmin_01_ssp126_ensembleMean_2001_2020"
"14","IPSL.CM6A.LR_tasmin_02_ssp126_ensembleMean_2001_2020"
"15","IPSL.CM6A.LR_tasmin_03_ssp126_ensembleMean_2001_2020"
"16","IPSL.CM6A.LR_tasmin_04_ssp126_ensembleMean_2001_2020"
"17","IPSL.CM6A.LR_tasmin_05_ssp126_ensembleMean_2001_2020"
"18","IPSL.CM6A.LR_tasmin_06_ssp126_ensembleMean_2001_2020"
"19","IPSL.CM6A.LR_tasmin_07_ssp126_ensembleMean_2001_2020"
"20","IPSL.CM6A.LR_tasmin_08_ssp126_ensembleMean_2001_2020"
"21","IPSL.CM6A.LR_tasmin_09_ssp126_ensembleMean_2001_2020"
"22","IPSL.CM6A.LR_tasmin_10_ssp126_ensembleMean_2001_2020"
"23","IPSL.CM6A.LR_tasmin_11_ssp126_ensembleMean_2001_2020"
"24","IPSL.CM6A.LR_tasmin_12_ssp126_ensembleMean_2001_2020"
"25","IPSL.CM6A.LR_tasmin_01_ssp126_r1i1p1f1_2001_2020"
"26","IPSL.CM6A.LR_tasmin_01_ssp126_r2i1p1f1_2001_2020"
"27","IPSL.CM6A.LR_tasmin_01_ssp126_r3i1p1f1_2001_2020"
"28","IPSL.CM6A.LR_tasmin_01_ssp126_r4i1p1f1_2001_2020"
"29","IPSL.CM6A.LR_tasmin_01_ssp126_r6i1p1f1_2001_2020"
"30","IPSL.CM6A.LR_tasmin_02_ssp126_r1i1p1f1_2001_2020"
"31","IPSL.CM6A.LR_tasmin_02_ssp126_r2i1p1f1_2001_2020"
"32","IPSL.CM6A.LR_tasmin_02_ssp126_r3i1p1f1_2001_2020"
"33","IPSL.CM6A.LR_tasmin_02_ssp126_r4i1p1f1_2001_2020"
"34","IPSL.CM6A.LR_tasmin_02_ssp126_r6i1p1f1_2001_2020"
"35","IPSL.CM6A.LR_tasmin_03_ssp126_r1i1p1f1_2001_2020"
"36","IPSL.CM6A.LR_tasmin_03_ssp126_r2i1p1f1_2001_2020"
"37","IPSL.CM6A.LR_tasmin_03_ssp126_r3i1p1f1_2001_2020"
"38","IPSL.CM6A.LR_tasmin_03_ssp126_r4i1p1f1_2001_2020"
"39","IPSL.CM6A.LR_tasmin_03_ssp126_r6i1p1f1_2001_2020"
"40","IPSL.CM6A.LR_tasmin_04_ssp126_r1i1p1f1_2001_2020"
"41","IPSL.CM6A.LR_tasmin_04_ssp126_r2i1p1f1_2001_2020"
