"","x"
"1","GISS.E2.1.G_pr_01_reference_ensembleMean_1961_1990"
"2","GISS.E2.1.G_pr_02_reference_ensembleMean_1961_1990"
"3","GISS.E2.1.G_pr_03_reference_ensembleMean_1961_1990"
"4","GISS.E2.1.G_pr_04_reference_ensembleMean_1961_1990"
"5","GISS.E2.1.G_pr_05_reference_ensembleMean_1961_1990"
"6","GISS.E2.1.G_pr_06_reference_ensembleMean_1961_1990"
"7","GISS.E2.1.G_pr_07_reference_ensembleMean_1961_1990"
"8","GISS.E2.1.G_pr_08_reference_ensembleMean_1961_1990"
"9","GISS.E2.1.G_pr_09_reference_ensembleMean_1961_1990"
"10","GISS.E2.1.G_pr_10_reference_ensembleMean_1961_1990"
"11","GISS.E2.1.G_pr_11_reference_ensembleMean_1961_1990"
"12","GISS.E2.1.G_pr_12_reference_ensembleMean_1961_1990"
"13","GISS.E2.1.G_pr_01_ssp126_ensembleMean_2001_2020"
"14","GISS.E2.1.G_pr_02_ssp126_ensembleMean_2001_2020"
"15","GISS.E2.1.G_pr_03_ssp126_ensembleMean_2001_2020"
"16","GISS.E2.1.G_pr_04_ssp126_ensembleMean_2001_2020"
"17","GISS.E2.1.G_pr_05_ssp126_ensembleMean_2001_2020"
"18","GISS.E2.1.G_pr_06_ssp126_ensembleMean_2001_2020"
"19","GISS.E2.1.G_pr_07_ssp126_ensembleMean_2001_2020"
"20","GISS.E2.1.G_pr_08_ssp126_ensembleMean_2001_2020"
"21","GISS.E2.1.G_pr_09_ssp126_ensembleMean_2001_2020"
"22","GISS.E2.1.G_pr_10_ssp126_ensembleMean_2001_2020"
"23","GISS.E2.1.G_pr_11_ssp126_ensembleMean_2001_2020"
"24","GISS.E2.1.G_pr_12_ssp126_ensembleMean_2001_2020"
"25","GISS.E2.1.G_pr_01_ssp126_r1i1p3f1_2001_2020"
"26","GISS.E2.1.G_pr_01_ssp126_r2i1p3f1_2001_2020"
"27","GISS.E2.1.G_pr_01_ssp126_r3i1p3f1_2001_2020"
"28","GISS.E2.1.G_pr_01_ssp126_r4i1p3f1_2001_2020"
"29","GISS.E2.1.G_pr_02_ssp126_r1i1p3f1_2001_2020"
"30","GISS.E2.1.G_pr_02_ssp126_r2i1p3f1_2001_2020"
"31","GISS.E2.1.G_pr_02_ssp126_r3i1p3f1_2001_2020"
"32","GISS.E2.1.G_pr_02_ssp126_r4i1p3f1_2001_2020"
"33","GISS.E2.1.G_pr_03_ssp126_r1i1p3f1_2001_2020"
"34","GISS.E2.1.G_pr_03_ssp126_r2i1p3f1_2001_2020"
"35","GISS.E2.1.G_pr_03_ssp126_r3i1p3f1_2001_2020"
"36","GISS.E2.1.G_pr_03_ssp126_r4i1p3f1_2001_2020"
"37","GISS.E2.1.G_pr_04_ssp126_r1i1p3f1_2001_2020"
"38","GISS.E2.1.G_pr_04_ssp126_r2i1p3f1_2001_2020"
"39","GISS.E2.1.G_pr_04_ssp126_r3i1p3f1_2001_2020"
"40","GISS.E2.1.G_pr_04_ssp126_r4i1p3f1_2001_2020"
"41","GISS.E2.1.G_pr_05_ssp126_r1i1p3f1_2001_2020"
"42","GISS.E2.1.G_pr_05_ssp126_r2i1p3f1_2001_2020"
"43","GISS.E2.1.G_pr_05_ssp126_r3i1p3f1_2001_2020"
"44","GISS.E2.1.G_pr_05_ssp126_r4i1p3f1_2001_2020"
"45","GISS.E2.1.G_pr_06_ssp126_r1i1p3f1_2001_2020"
"46","GISS.E2.1.G_pr_06_ssp126_r2i1p3f1_2001_2020"
"47","GISS.E2.1.G_pr_06_ssp126_r3i1p3f1_2001_2020"
"48","GISS.E2.1.G_pr_06_ssp126_r4i1p3f1_2001_2020"
"49","GISS.E2.1.G_pr_07_ssp126_r1i1p3f1_2001_2020"
"50","GISS.E2.1.G_pr_07_ssp126_r2i1p3f1_2001_2020"
"51","GISS.E2.1.G_pr_07_ssp126_r3i1p3f1_2001_2020"
"52","GISS.E2.1.G_pr_07_ssp126_r4i1p3f1_2001_2020"
"53","GISS.E2.1.G_pr_08_ssp126_r1i1p3f1_2001_2020"
"54","GISS.E2.1.G_pr_08_ssp126_r2i1p3f1_2001_2020"
"55","GISS.E2.1.G_pr_08_ssp126_r3i1p3f1_2001_2020"
"56","GISS.E2.1.G_pr_08_ssp126_r4i1p3f1_2001_2020"
"57","GISS.E2.1.G_pr_09_ssp126_r1i1p3f1_2001_2020"
"58","GISS.E2.1.G_pr_09_ssp126_r2i1p3f1_2001_2020"
"59","GISS.E2.1.G_pr_09_ssp126_r3i1p3f1_2001_2020"
"60","GISS.E2.1.G_pr_09_ssp126_r4i1p3f1_2001_2020"
"61","GISS.E2.1.G_pr_10_ssp126_r1i1p3f1_2001_2020"
"62","GISS.E2.1.G_pr_10_ssp126_r2i1p3f1_2001_2020"
"63","GISS.E2.1.G_pr_10_ssp126_r3i1p3f1_2001_2020"
"64","GISS.E2.1.G_pr_10_ssp126_r4i1p3f1_2001_2020"
"65","GISS.E2.1.G_pr_11_ssp126_r1i1p3f1_2001_2020"
"66","GISS.E2.1.G_pr_11_ssp126_r2i1p3f1_2001_2020"
"67","GISS.E2.1.G_pr_11_ssp126_r3i1p3f1_2001_2020"
"68","GISS.E2.1.G_pr_11_ssp126_r4i1p3f1_2001_2020"
"69","GISS.E2.1.G_pr_12_ssp126_r1i1p3f1_2001_2020"
"70","GISS.E2.1.G_pr_12_ssp126_r2i1p3f1_2001_2020"
"71","GISS.E2.1.G_pr_12_ssp126_r3i1p3f1_2001_2020"
"72","GISS.E2.1.G_pr_12_ssp126_r4i1p3f1_2001_2020"
"73","GISS.E2.1.G_pr_01_ssp126_ensembleMean_2021_2040"
"74","GISS.E2.1.G_pr_02_ssp126_ensembleMean_2021_2040"
"75","GISS.E2.1.G_pr_03_ssp126_ensembleMean_2021_2040"
"76","GISS.E2.1.G_pr_04_ssp126_ensembleMean_2021_2040"
"77","GISS.E2.1.G_pr_05_ssp126_ensembleMean_2021_2040"
"78","GISS.E2.1.G_pr_06_ssp126_ensembleMean_2021_2040"
"79","GISS.E2.1.G_pr_07_ssp126_ensembleMean_2021_2040"
"80","GISS.E2.1.G_pr_08_ssp126_ensembleMean_2021_2040"
"81","GISS.E2.1.G_pr_09_ssp126_ensembleMean_2021_2040"
"82","GISS.E2.1.G_pr_10_ssp126_ensembleMean_2021_2040"
"83","GISS.E2.1.G_pr_11_ssp126_ensembleMean_2021_2040"
"84","GISS.E2.1.G_pr_12_ssp126_ensembleMean_2021_2040"
"85","GISS.E2.1.G_pr_01_ssp126_r1i1p3f1_2021_2040"
"86","GISS.E2.1.G_pr_01_ssp126_r2i1p3f1_2021_2040"
"87","GISS.E2.1.G_pr_01_ssp126_r3i1p3f1_2021_2040"
"88","GISS.E2.1.G_pr_01_ssp126_r4i1p3f1_2021_2040"
"89","GISS.E2.1.G_pr_02_ssp126_r1i1p3f1_2021_2040"
"90","GISS.E2.1.G_pr_02_ssp126_r2i1p3f1_2021_2040"
"91","GISS.E2.1.G_pr_02_ssp126_r3i1p3f1_2021_2040"
"92","GISS.E2.1.G_pr_02_ssp126_r4i1p3f1_2021_2040"
"93","GISS.E2.1.G_pr_03_ssp126_r1i1p3f1_2021_2040"
"94","GISS.E2.1.G_pr_03_ssp126_r2i1p3f1_2021_2040"
"95","GISS.E2.1.G_pr_03_ssp126_r3i1p3f1_2021_2040"
"96","GISS.E2.1.G_pr_03_ssp126_r4i1p3f1_2021_2040"
"97","GISS.E2.1.G_pr_04_ssp126_r1i1p3f1_2021_2040"
"98","GISS.E2.1.G_pr_04_ssp126_r2i1p3f1_2021_2040"
"99","GISS.E2.1.G_pr_04_ssp126_r3i1p3f1_2021_2040"
"100","GISS.E2.1.G_pr_04_ssp126_r4i1p3f1_2021_2040"
"101","GISS.E2.1.G_pr_05_ssp126_r1i1p3f1_2021_2040"
"102","GISS.E2.1.G_pr_05_ssp126_r2i1p3f1_2021_2040"
"103","GISS.E2.1.G_pr_05_ssp126_r3i1p3f1_2021_2040"
"104","GISS.E2.1.G_pr_05_ssp126_r4i1p3f1_2021_2040"
"105","GISS.E2.1.G_pr_06_ssp126_r1i1p3f1_2021_2040"
"106","GISS.E2.1.G_pr_06_ssp126_r2i1p3f1_2021_2040"
"107","GISS.E2.1.G_pr_06_ssp126_r3i1p3f1_2021_2040"
"108","GISS.E2.1.G_pr_06_ssp126_r4i1p3f1_2021_2040"
"109","GISS.E2.1.G_pr_07_ssp126_r1i1p3f1_2021_2040"
"110","GISS.E2.1.G_pr_07_ssp126_r2i1p3f1_2021_2040"
"111","GISS.E2.1.G_pr_07_ssp126_r3i1p3f1_2021_2040"
"112","GISS.E2.1.G_pr_07_ssp126_r4i1p3f1_2021_2040"
"113","GISS.E2.1.G_pr_08_ssp126_r1i1p3f1_2021_2040"
"114","GISS.E2.1.G_pr_08_ssp126_r2i1p3f1_2021_2040"
"115","GISS.E2.1.G_pr_08_ssp126_r3i1p3f1_2021_2040"
"116","GISS.E2.1.G_pr_08_ssp126_r4i1p3f1_2021_2040"
"117","GISS.E2.1.G_pr_09_ssp126_r1i1p3f1_2021_2040"
"118","GISS.E2.1.G_pr_09_ssp126_r2i1p3f1_2021_2040"
"119","GISS.E2.1.G_pr_09_ssp126_r3i1p3f1_2021_2040"
"120","GISS.E2.1.G_pr_09_ssp126_r4i1p3f1_2021_2040"
"121","GISS.E2.1.G_pr_10_ssp126_r1i1p3f1_2021_2040"
"122","GISS.E2.1.G_pr_10_ssp126_r2i1p3f1_2021_2040"
"123","GISS.E2.1.G_pr_10_ssp126_r3i1p3f1_2021_2040"
"124","GISS.E2.1.G_pr_10_ssp126_r4i1p3f1_2021_2040"
"125","GISS.E2.1.G_pr_11_ssp126_r1i1p3f1_2021_2040"
"126","GISS.E2.1.G_pr_11_ssp126_r2i1p3f1_2021_2040"
"127","GISS.E2.1.G_pr_11_ssp126_r3i1p3f1_2021_2040"
"128","GISS.E2.1.G_pr_11_ssp126_r4i1p3f1_2021_2040"
"129","GISS.E2.1.G_pr_12_ssp126_r1i1p3f1_2021_2040"
"130","GISS.E2.1.G_pr_12_ssp126_r2i1p3f1_2021_2040"
"131","GISS.E2.1.G_pr_12_ssp126_r3i1p3f1_2021_2040"
"132","GISS.E2.1.G_pr_12_ssp126_r4i1p3f1_2021_2040"
"133","GISS.E2.1.G_pr_01_ssp126_ensembleMean_2041_2060"
"134","GISS.E2.1.G_pr_02_ssp126_ensembleMean_2041_2060"
"135","GISS.E2.1.G_pr_03_ssp126_ensembleMean_2041_2060"
"136","GISS.E2.1.G_pr_04_ssp126_ensembleMean_2041_2060"
"137","GISS.E2.1.G_pr_05_ssp126_ensembleMean_2041_2060"
"138","GISS.E2.1.G_pr_06_ssp126_ensembleMean_2041_2060"
"139","GISS.E2.1.G_pr_07_ssp126_ensembleMean_2041_2060"
"140","GISS.E2.1.G_pr_08_ssp126_ensembleMean_2041_2060"
"141","GISS.E2.1.G_pr_09_ssp126_ensembleMean_2041_2060"
"142","GISS.E2.1.G_pr_10_ssp126_ensembleMean_2041_2060"
"143","GISS.E2.1.G_pr_11_ssp126_ensembleMean_2041_2060"
"144","GISS.E2.1.G_pr_12_ssp126_ensembleMean_2041_2060"
"145","GISS.E2.1.G_pr_01_ssp126_r1i1p3f1_2041_2060"
"146","GISS.E2.1.G_pr_01_ssp126_r2i1p3f1_2041_2060"
"147","GISS.E2.1.G_pr_01_ssp126_r3i1p3f1_2041_2060"
"148","GISS.E2.1.G_pr_01_ssp126_r4i1p3f1_2041_2060"
"149","GISS.E2.1.G_pr_02_ssp126_r1i1p3f1_2041_2060"
"150","GISS.E2.1.G_pr_02_ssp126_r2i1p3f1_2041_2060"
"151","GISS.E2.1.G_pr_02_ssp126_r3i1p3f1_2041_2060"
"152","GISS.E2.1.G_pr_02_ssp126_r4i1p3f1_2041_2060"
"153","GISS.E2.1.G_pr_03_ssp126_r1i1p3f1_2041_2060"
"154","GISS.E2.1.G_pr_03_ssp126_r2i1p3f1_2041_2060"
"155","GISS.E2.1.G_pr_03_ssp126_r3i1p3f1_2041_2060"
"156","GISS.E2.1.G_pr_03_ssp126_r4i1p3f1_2041_2060"
"157","GISS.E2.1.G_pr_04_ssp126_r1i1p3f1_2041_2060"
"158","GISS.E2.1.G_pr_04_ssp126_r2i1p3f1_2041_2060"
