"","x"
"1","CNRM.ESM2.1_tasmin_01_reference_ensembleMean_1961_1990"
"2","CNRM.ESM2.1_tasmin_02_reference_ensembleMean_1961_1990"
"3","CNRM.ESM2.1_tasmin_03_reference_ensembleMean_1961_1990"
"4","CNRM.ESM2.1_tasmin_04_reference_ensembleMean_1961_1990"
"5","CNRM.ESM2.1_tasmin_05_reference_ensembleMean_1961_1990"
"6","CNRM.ESM2.1_tasmin_06_reference_ensembleMean_1961_1990"
"7","CNRM.ESM2.1_tasmin_07_reference_ensembleMean_1961_1990"
"8","CNRM.ESM2.1_tasmin_08_reference_ensembleMean_1961_1990"
"9","CNRM.ESM2.1_tasmin_09_reference_ensembleMean_1961_1990"
"10","CNRM.ESM2.1_tasmin_10_reference_ensembleMean_1961_1990"
"11","CNRM.ESM2.1_tasmin_11_reference_ensembleMean_1961_1990"
"12","CNRM.ESM2.1_tasmin_12_reference_ensembleMean_1961_1990"
"13","CNRM.ESM2.1_tasmin_01_ssp126_ensembleMean_2001_2020"
"14","CNRM.ESM2.1_tasmin_02_ssp126_ensembleMean_2001_2020"
"15","CNRM.ESM2.1_tasmin_03_ssp126_ensembleMean_2001_2020"
"16","CNRM.ESM2.1_tasmin_04_ssp126_ensembleMean_2001_2020"
"17","CNRM.ESM2.1_tasmin_05_ssp126_ensembleMean_2001_2020"
"18","CNRM.ESM2.1_tasmin_06_ssp126_ensembleMean_2001_2020"
"19","CNRM.ESM2.1_tasmin_07_ssp126_ensembleMean_2001_2020"
"20","CNRM.ESM2.1_tasmin_08_ssp126_ensembleMean_2001_2020"
"21","CNRM.ESM2.1_tasmin_09_ssp126_ensembleMean_2001_2020"
"22","CNRM.ESM2.1_tasmin_10_ssp126_ensembleMean_2001_2020"
"23","CNRM.ESM2.1_tasmin_11_ssp126_ensembleMean_2001_2020"
"24","CNRM.ESM2.1_tasmin_12_ssp126_ensembleMean_2001_2020"
"25","CNRM.ESM2.1_tasmin_01_ssp126_r1i1p1f2_2001_2020"
"26","CNRM.ESM2.1_tasmin_01_ssp126_r2i1p1f2_2001_2020"
"27","CNRM.ESM2.1_tasmin_01_ssp126_r3i1p1f2_2001_2020"
"28","CNRM.ESM2.1_tasmin_01_ssp126_r4i1p1f2_2001_2020"
"29","CNRM.ESM2.1_tasmin_01_ssp126_r5i1p1f2_2001_2020"
"30","CNRM.ESM2.1_tasmin_02_ssp126_r1i1p1f2_2001_2020"
"31","CNRM.ESM2.1_tasmin_02_ssp126_r2i1p1f2_2001_2020"
"32","CNRM.ESM2.1_tasmin_02_ssp126_r3i1p1f2_2001_2020"
"33","CNRM.ESM2.1_tasmin_02_ssp126_r4i1p1f2_2001_2020"
"34","CNRM.ESM2.1_tasmin_02_ssp126_r5i1p1f2_2001_2020"
"35","CNRM.ESM2.1_tasmin_03_ssp126_r1i1p1f2_2001_2020"
"36","CNRM.ESM2.1_tasmin_03_ssp126_r2i1p1f2_2001_2020"
"37","CNRM.ESM2.1_tasmin_03_ssp126_r3i1p1f2_2001_2020"
"38","CNRM.ESM2.1_tasmin_03_ssp126_r4i1p1f2_2001_2020"
"39","CNRM.ESM2.1_tasmin_03_ssp126_r5i1p1f2_2001_2020"
"40","CNRM.ESM2.1_tasmin_04_ssp126_r1i1p1f2_2001_2020"
"41","CNRM.ESM2.1_tasmin_04_ssp126_r2i1p1f2_2001_2020"
"42","CNRM.ESM2.1_tasmin_04_ssp126_r3i1p1f2_2001_2020"
"43","CNRM.ESM2.1_tasmin_04_ssp126_r4i1p1f2_2001_2020"
"44","CNRM.ESM2.1_tasmin_04_ssp126_r5i1p1f2_2001_2020"
"45","CNRM.ESM2.1_tasmin_05_ssp126_r1i1p1f2_2001_2020"
"46","CNRM.ESM2.1_tasmin_05_ssp126_r2i1p1f2_2001_2020"
"47","CNRM.ESM2.1_tasmin_05_ssp126_r3i1p1f2_2001_2020"
"48","CNRM.ESM2.1_tasmin_05_ssp126_r4i1p1f2_2001_2020"
"49","CNRM.ESM2.1_tasmin_05_ssp126_r5i1p1f2_2001_2020"
"50","CNRM.ESM2.1_tasmin_06_ssp126_r1i1p1f2_2001_2020"
"51","CNRM.ESM2.1_tasmin_06_ssp126_r2i1p1f2_2001_2020"
"52","CNRM.ESM2.1_tasmin_06_ssp126_r3i1p1f2_2001_2020"
"53","CNRM.ESM2.1_tasmin_06_ssp126_r4i1p1f2_2001_2020"
"54","CNRM.ESM2.1_tasmin_06_ssp126_r5i1p1f2_2001_2020"
"55","CNRM.ESM2.1_tasmin_07_ssp126_r1i1p1f2_2001_2020"
"56","CNRM.ESM2.1_tasmin_07_ssp126_r2i1p1f2_2001_2020"
"57","CNRM.ESM2.1_tasmin_07_ssp126_r3i1p1f2_2001_2020"
"58","CNRM.ESM2.1_tasmin_07_ssp126_r4i1p1f2_2001_2020"
"59","CNRM.ESM2.1_tasmin_07_ssp126_r5i1p1f2_2001_2020"
"60","CNRM.ESM2.1_tasmin_08_ssp126_r1i1p1f2_2001_2020"
"61","CNRM.ESM2.1_tasmin_08_ssp126_r2i1p1f2_2001_2020"
"62","CNRM.ESM2.1_tasmin_08_ssp126_r3i1p1f2_2001_2020"
"63","CNRM.ESM2.1_tasmin_08_ssp126_r4i1p1f2_2001_2020"
"64","CNRM.ESM2.1_tasmin_08_ssp126_r5i1p1f2_2001_2020"
"65","CNRM.ESM2.1_tasmin_09_ssp126_r1i1p1f2_2001_2020"
"66","CNRM.ESM2.1_tasmin_09_ssp126_r2i1p1f2_2001_2020"
"67","CNRM.ESM2.1_tasmin_09_ssp126_r3i1p1f2_2001_2020"
"68","CNRM.ESM2.1_tasmin_09_ssp126_r4i1p1f2_2001_2020"
"69","CNRM.ESM2.1_tasmin_09_ssp126_r5i1p1f2_2001_2020"
"70","CNRM.ESM2.1_tasmin_10_ssp126_r1i1p1f2_2001_2020"
"71","CNRM.ESM2.1_tasmin_10_ssp126_r2i1p1f2_2001_2020"
"72","CNRM.ESM2.1_tasmin_10_ssp126_r3i1p1f2_2001_2020"
"73","CNRM.ESM2.1_tasmin_10_ssp126_r4i1p1f2_2001_2020"
"74","CNRM.ESM2.1_tasmin_10_ssp126_r5i1p1f2_2001_2020"
"75","CNRM.ESM2.1_tasmin_11_ssp126_r1i1p1f2_2001_2020"
"76","CNRM.ESM2.1_tasmin_11_ssp126_r2i1p1f2_2001_2020"
"77","CNRM.ESM2.1_tasmin_11_ssp126_r3i1p1f2_2001_2020"
"78","CNRM.ESM2.1_tasmin_11_ssp126_r4i1p1f2_2001_2020"
"79","CNRM.ESM2.1_tasmin_11_ssp126_r5i1p1f2_2001_2020"
"80","CNRM.ESM2.1_tasmin_12_ssp126_r1i1p1f2_2001_2020"
"81","CNRM.ESM2.1_tasmin_12_ssp126_r2i1p1f2_2001_2020"
"82","CNRM.ESM2.1_tasmin_12_ssp126_r3i1p1f2_2001_2020"
"83","CNRM.ESM2.1_tasmin_12_ssp126_r4i1p1f2_2001_2020"
"84","CNRM.ESM2.1_tasmin_12_ssp126_r5i1p1f2_2001_2020"
"85","CNRM.ESM2.1_tasmin_01_ssp126_ensembleMean_2021_2040"
"86","CNRM.ESM2.1_tasmin_02_ssp126_ensembleMean_2021_2040"
"87","CNRM.ESM2.1_tasmin_03_ssp126_ensembleMean_2021_2040"
"88","CNRM.ESM2.1_tasmin_04_ssp126_ensembleMean_2021_2040"
"89","CNRM.ESM2.1_tasmin_05_ssp126_ensembleMean_2021_2040"
"90","CNRM.ESM2.1_tasmin_06_ssp126_ensembleMean_2021_2040"
"91","CNRM.ESM2.1_tasmin_07_ssp126_ensembleMean_2021_2040"
"92","CNRM.ESM2.1_tasmin_08_ssp126_ensembleMean_2021_2040"
"93","CNRM.ESM2.1_tasmin_09_ssp126_ensembleMean_2021_2040"
"94","CNRM.ESM2.1_tasmin_10_ssp126_ensembleMean_2021_2040"
"95","CNRM.ESM2.1_tasmin_11_ssp126_ensembleMean_2021_2040"
"96","CNRM.ESM2.1_tasmin_12_ssp126_ensembleMean_2021_2040"
