"","x"
"1","ACCESS.ESM1.5_tasmin_01_reference_ensembleMean_1961_1990"
"2","ACCESS.ESM1.5_tasmin_02_reference_ensembleMean_1961_1990"
"3","ACCESS.ESM1.5_tasmin_03_reference_ensembleMean_1961_1990"
"4","ACCESS.ESM1.5_tasmin_04_reference_ensembleMean_1961_1990"
"5","ACCESS.ESM1.5_tasmin_05_reference_ensembleMean_1961_1990"
"6","ACCESS.ESM1.5_tasmin_06_reference_ensembleMean_1961_1990"
"7","ACCESS.ESM1.5_tasmin_07_reference_ensembleMean_1961_1990"
"8","ACCESS.ESM1.5_tasmin_08_reference_ensembleMean_1961_1990"
"9","ACCESS.ESM1.5_tasmin_09_reference_ensembleMean_1961_1990"
"10","ACCESS.ESM1.5_tasmin_10_reference_ensembleMean_1961_1990"
"11","ACCESS.ESM1.5_tasmin_11_reference_ensembleMean_1961_1990"
"12","ACCESS.ESM1.5_tasmin_12_reference_ensembleMean_1961_1990"
"13","ACCESS.ESM1.5_tasmin_01_ssp126_ensembleMean_2001_2020"
"14","ACCESS.ESM1.5_tasmin_02_ssp126_ensembleMean_2001_2020"
"15","ACCESS.ESM1.5_tasmin_03_ssp126_ensembleMean_2001_2020"
"16","ACCESS.ESM1.5_tasmin_04_ssp126_ensembleMean_2001_2020"
"17","ACCESS.ESM1.5_tasmin_05_ssp126_ensembleMean_2001_2020"
"18","ACCESS.ESM1.5_tasmin_06_ssp126_ensembleMean_2001_2020"
"19","ACCESS.ESM1.5_tasmin_07_ssp126_ensembleMean_2001_2020"
"20","ACCESS.ESM1.5_tasmin_08_ssp126_ensembleMean_2001_2020"
"21","ACCESS.ESM1.5_tasmin_09_ssp126_ensembleMean_2001_2020"
"22","ACCESS.ESM1.5_tasmin_10_ssp126_ensembleMean_2001_2020"
"23","ACCESS.ESM1.5_tasmin_11_ssp126_ensembleMean_2001_2020"
"24","ACCESS.ESM1.5_tasmin_12_ssp126_ensembleMean_2001_2020"
"25","ACCESS.ESM1.5_tasmin_01_ssp126_r10i1p1f1_2001_2020"
"26","ACCESS.ESM1.5_tasmin_01_ssp126_r1i1p1f1_2001_2020"
"27","ACCESS.ESM1.5_tasmin_01_ssp126_r2i1p1f1_2001_2020"
"28","ACCESS.ESM1.5_tasmin_01_ssp126_r3i1p1f1_2001_2020"
"29","ACCESS.ESM1.5_tasmin_01_ssp126_r4i1p1f1_2001_2020"
"30","ACCESS.ESM1.5_tasmin_01_ssp126_r5i1p1f1_2001_2020"
"31","ACCESS.ESM1.5_tasmin_01_ssp126_r6i1p1f1_2001_2020"
"32","ACCESS.ESM1.5_tasmin_01_ssp126_r7i1p1f1_2001_2020"
"33","ACCESS.ESM1.5_tasmin_01_ssp126_r8i1p1f1_2001_2020"
"34","ACCESS.ESM1.5_tasmin_01_ssp126_r9i1p1f1_2001_2020"
"35","ACCESS.ESM1.5_tasmin_02_ssp126_r10i1p1f1_2001_2020"
"36","ACCESS.ESM1.5_tasmin_02_ssp126_r1i1p1f1_2001_2020"
"37","ACCESS.ESM1.5_tasmin_02_ssp126_r2i1p1f1_2001_2020"
"38","ACCESS.ESM1.5_tasmin_02_ssp126_r3i1p1f1_2001_2020"
"39","ACCESS.ESM1.5_tasmin_02_ssp126_r4i1p1f1_2001_2020"
"40","ACCESS.ESM1.5_tasmin_02_ssp126_r5i1p1f1_2001_2020"
"41","ACCESS.ESM1.5_tasmin_02_ssp126_r6i1p1f1_2001_2020"
"42","ACCESS.ESM1.5_tasmin_02_ssp126_r7i1p1f1_2001_2020"
"43","ACCESS.ESM1.5_tasmin_02_ssp126_r8i1p1f1_2001_2020"
"44","ACCESS.ESM1.5_tasmin_02_ssp126_r9i1p1f1_2001_2020"
"45","ACCESS.ESM1.5_tasmin_03_ssp126_r10i1p1f1_2001_2020"
"46","ACCESS.ESM1.5_tasmin_03_ssp126_r1i1p1f1_2001_2020"
"47","ACCESS.ESM1.5_tasmin_03_ssp126_r2i1p1f1_2001_2020"
"48","ACCESS.ESM1.5_tasmin_03_ssp126_r3i1p1f1_2001_2020"
"49","ACCESS.ESM1.5_tasmin_03_ssp126_r4i1p1f1_2001_2020"
"50","ACCESS.ESM1.5_tasmin_03_ssp126_r5i1p1f1_2001_2020"
"51","ACCESS.ESM1.5_tasmin_03_ssp126_r6i1p1f1_2001_2020"
"52","ACCESS.ESM1.5_tasmin_03_ssp126_r7i1p1f1_2001_2020"
"53","ACCESS.ESM1.5_tasmin_03_ssp126_r8i1p1f1_2001_2020"
"54","ACCESS.ESM1.5_tasmin_03_ssp126_r9i1p1f1_2001_2020"
"55","ACCESS.ESM1.5_tasmin_04_ssp126_r10i1p1f1_2001_2020"
"56","ACCESS.ESM1.5_tasmin_04_ssp126_r1i1p1f1_2001_2020"
"57","ACCESS.ESM1.5_tasmin_04_ssp126_r2i1p1f1_2001_2020"
"58","ACCESS.ESM1.5_tasmin_04_ssp126_r3i1p1f1_2001_2020"
"59","ACCESS.ESM1.5_tasmin_04_ssp126_r4i1p1f1_2001_2020"
"60","ACCESS.ESM1.5_tasmin_04_ssp126_r5i1p1f1_2001_2020"
"61","ACCESS.ESM1.5_tasmin_04_ssp126_r6i1p1f1_2001_2020"
"62","ACCESS.ESM1.5_tasmin_04_ssp126_r7i1p1f1_2001_2020"
