"","x"
"1","BCC.CSM2.MR_tasmin_01_reference_ensembleMean_1961_1990"
"2","BCC.CSM2.MR_tasmin_02_reference_ensembleMean_1961_1990"
"3","BCC.CSM2.MR_tasmin_03_reference_ensembleMean_1961_1990"
"4","BCC.CSM2.MR_tasmin_04_reference_ensembleMean_1961_1990"
"5","BCC.CSM2.MR_tasmin_05_reference_ensembleMean_1961_1990"
"6","BCC.CSM2.MR_tasmin_06_reference_ensembleMean_1961_1990"
"7","BCC.CSM2.MR_tasmin_07_reference_ensembleMean_1961_1990"
"8","BCC.CSM2.MR_tasmin_08_reference_ensembleMean_1961_1990"
"9","BCC.CSM2.MR_tasmin_09_reference_ensembleMean_1961_1990"
"10","BCC.CSM2.MR_tasmin_10_reference_ensembleMean_1961_1990"
"11","BCC.CSM2.MR_tasmin_11_reference_ensembleMean_1961_1990"
"12","BCC.CSM2.MR_tasmin_12_reference_ensembleMean_1961_1990"
"13","BCC.CSM2.MR_tasmin_01_ssp126_ensembleMean_2001_2020"
"14","BCC.CSM2.MR_tasmin_02_ssp126_ensembleMean_2001_2020"
"15","BCC.CSM2.MR_tasmin_03_ssp126_ensembleMean_2001_2020"
"16","BCC.CSM2.MR_tasmin_04_ssp126_ensembleMean_2001_2020"
"17","BCC.CSM2.MR_tasmin_05_ssp126_ensembleMean_2001_2020"
"18","BCC.CSM2.MR_tasmin_06_ssp126_ensembleMean_2001_2020"
"19","BCC.CSM2.MR_tasmin_07_ssp126_ensembleMean_2001_2020"
"20","BCC.CSM2.MR_tasmin_08_ssp126_ensembleMean_2001_2020"
"21","BCC.CSM2.MR_tasmin_09_ssp126_ensembleMean_2001_2020"
"22","BCC.CSM2.MR_tasmin_10_ssp126_ensembleMean_2001_2020"
"23","BCC.CSM2.MR_tasmin_11_ssp126_ensembleMean_2001_2020"
"24","BCC.CSM2.MR_tasmin_12_ssp126_ensembleMean_2001_2020"
"25","BCC.CSM2.MR_tasmin_01_ssp126_r1i1p1f1_2001_2020"
"26","BCC.CSM2.MR_tasmin_02_ssp126_r1i1p1f1_2001_2020"
"27","BCC.CSM2.MR_tasmin_03_ssp126_r1i1p1f1_2001_2020"
"28","BCC.CSM2.MR_tasmin_04_ssp126_r1i1p1f1_2001_2020"
"29","BCC.CSM2.MR_tasmin_05_ssp126_r1i1p1f1_2001_2020"
"30","BCC.CSM2.MR_tasmin_06_ssp126_r1i1p1f1_2001_2020"
"31","BCC.CSM2.MR_tasmin_07_ssp126_r1i1p1f1_2001_2020"
"32","BCC.CSM2.MR_tasmin_08_ssp126_r1i1p1f1_2001_2020"
"33","BCC.CSM2.MR_tasmin_09_ssp126_r1i1p1f1_2001_2020"
"34","BCC.CSM2.MR_tasmin_10_ssp126_r1i1p1f1_2001_2020"
"35","BCC.CSM2.MR_tasmin_11_ssp126_r1i1p1f1_2001_2020"
"36","BCC.CSM2.MR_tasmin_12_ssp126_r1i1p1f1_2001_2020"
"37","BCC.CSM2.MR_tasmin_01_ssp126_ensembleMean_2021_2040"
"38","BCC.CSM2.MR_tasmin_02_ssp126_ensembleMean_2021_2040"
"39","BCC.CSM2.MR_tasmin_03_ssp126_ensembleMean_2021_2040"
"40","BCC.CSM2.MR_tasmin_04_ssp126_ensembleMean_2021_2040"
"41","BCC.CSM2.MR_tasmin_05_ssp126_ensembleMean_2021_2040"
"42","BCC.CSM2.MR_tasmin_06_ssp126_ensembleMean_2021_2040"
"43","BCC.CSM2.MR_tasmin_07_ssp126_ensembleMean_2021_2040"
"44","BCC.CSM2.MR_tasmin_08_ssp126_ensembleMean_2021_2040"
"45","BCC.CSM2.MR_tasmin_09_ssp126_ensembleMean_2021_2040"
"46","BCC.CSM2.MR_tasmin_10_ssp126_ensembleMean_2021_2040"
"47","BCC.CSM2.MR_tasmin_11_ssp126_ensembleMean_2021_2040"
"48","BCC.CSM2.MR_tasmin_12_ssp126_ensembleMean_2021_2040"
"49","BCC.CSM2.MR_tasmin_01_ssp126_r1i1p1f1_2021_2040"
"50","BCC.CSM2.MR_tasmin_02_ssp126_r1i1p1f1_2021_2040"
"51","BCC.CSM2.MR_tasmin_03_ssp126_r1i1p1f1_2021_2040"
"52","BCC.CSM2.MR_tasmin_04_ssp126_r1i1p1f1_2021_2040"
"53","BCC.CSM2.MR_tasmin_05_ssp126_r1i1p1f1_2021_2040"
"54","BCC.CSM2.MR_tasmin_06_ssp126_r1i1p1f1_2021_2040"
"55","BCC.CSM2.MR_tasmin_07_ssp126_r1i1p1f1_2021_2040"
"56","BCC.CSM2.MR_tasmin_08_ssp126_r1i1p1f1_2021_2040"
"57","BCC.CSM2.MR_tasmin_09_ssp126_r1i1p1f1_2021_2040"
"58","BCC.CSM2.MR_tasmin_10_ssp126_r1i1p1f1_2021_2040"
"59","BCC.CSM2.MR_tasmin_11_ssp126_r1i1p1f1_2021_2040"
"60","BCC.CSM2.MR_tasmin_12_ssp126_r1i1p1f1_2021_2040"
"61","BCC.CSM2.MR_tasmin_01_ssp126_ensembleMean_2041_2060"
"62","BCC.CSM2.MR_tasmin_02_ssp126_ensembleMean_2041_2060"
"63","BCC.CSM2.MR_tasmin_03_ssp126_ensembleMean_2041_2060"
"64","BCC.CSM2.MR_tasmin_04_ssp126_ensembleMean_2041_2060"
"65","BCC.CSM2.MR_tasmin_05_ssp126_ensembleMean_2041_2060"
"66","BCC.CSM2.MR_tasmin_06_ssp126_ensembleMean_2041_2060"
"67","BCC.CSM2.MR_tasmin_07_ssp126_ensembleMean_2041_2060"
"68","BCC.CSM2.MR_tasmin_08_ssp126_ensembleMean_2041_2060"
"69","BCC.CSM2.MR_tasmin_09_ssp126_ensembleMean_2041_2060"
"70","BCC.CSM2.MR_tasmin_10_ssp126_ensembleMean_2041_2060"
"71","BCC.CSM2.MR_tasmin_11_ssp126_ensembleMean_2041_2060"
"72","BCC.CSM2.MR_tasmin_12_ssp126_ensembleMean_2041_2060"
"73","BCC.CSM2.MR_tasmin_01_ssp126_r1i1p1f1_2041_2060"
"74","BCC.CSM2.MR_tasmin_02_ssp126_r1i1p1f1_2041_2060"
"75","BCC.CSM2.MR_tasmin_03_ssp126_r1i1p1f1_2041_2060"
"76","BCC.CSM2.MR_tasmin_04_ssp126_r1i1p1f1_2041_2060"
"77","BCC.CSM2.MR_tasmin_05_ssp126_r1i1p1f1_2041_2060"
"78","BCC.CSM2.MR_tasmin_06_ssp126_r1i1p1f1_2041_2060"
"79","BCC.CSM2.MR_tasmin_07_ssp126_r1i1p1f1_2041_2060"
"80","BCC.CSM2.MR_tasmin_08_ssp126_r1i1p1f1_2041_2060"
"81","BCC.CSM2.MR_tasmin_09_ssp126_r1i1p1f1_2041_2060"
"82","BCC.CSM2.MR_tasmin_10_ssp126_r1i1p1f1_2041_2060"
"83","BCC.CSM2.MR_tasmin_11_ssp126_r1i1p1f1_2041_2060"
"84","BCC.CSM2.MR_tasmin_12_ssp126_r1i1p1f1_2041_2060"
"85","BCC.CSM2.MR_tasmin_01_ssp126_ensembleMean_2061_2080"
"86","BCC.CSM2.MR_tasmin_02_ssp126_ensembleMean_2061_2080"
"87","BCC.CSM2.MR_tasmin_03_ssp126_ensembleMean_2061_2080"
"88","BCC.CSM2.MR_tasmin_04_ssp126_ensembleMean_2061_2080"
"89","BCC.CSM2.MR_tasmin_05_ssp126_ensembleMean_2061_2080"
"90","BCC.CSM2.MR_tasmin_06_ssp126_ensembleMean_2061_2080"
"91","BCC.CSM2.MR_tasmin_07_ssp126_ensembleMean_2061_2080"
"92","BCC.CSM2.MR_tasmin_08_ssp126_ensembleMean_2061_2080"
"93","BCC.CSM2.MR_tasmin_09_ssp126_ensembleMean_2061_2080"
"94","BCC.CSM2.MR_tasmin_10_ssp126_ensembleMean_2061_2080"
"95","BCC.CSM2.MR_tasmin_11_ssp126_ensembleMean_2061_2080"
"96","BCC.CSM2.MR_tasmin_12_ssp126_ensembleMean_2061_2080"
"97","BCC.CSM2.MR_tasmin_01_ssp126_r1i1p1f1_2061_2080"
"98","BCC.CSM2.MR_tasmin_02_ssp126_r1i1p1f1_2061_2080"
"99","BCC.CSM2.MR_tasmin_03_ssp126_r1i1p1f1_2061_2080"
"100","BCC.CSM2.MR_tasmin_04_ssp126_r1i1p1f1_2061_2080"
"101","BCC.CSM2.MR_tasmin_05_ssp126_r1i1p1f1_2061_2080"
"102","BCC.CSM2.MR_tasmin_06_ssp126_r1i1p1f1_2061_2080"
"103","BCC.CSM2.MR_tasmin_07_ssp126_r1i1p1f1_2061_2080"
"104","BCC.CSM2.MR_tasmin_08_ssp126_r1i1p1f1_2061_2080"
"105","BCC.CSM2.MR_tasmin_09_ssp126_r1i1p1f1_2061_2080"
"106","BCC.CSM2.MR_tasmin_10_ssp126_r1i1p1f1_2061_2080"
"107","BCC.CSM2.MR_tasmin_11_ssp126_r1i1p1f1_2061_2080"
"108","BCC.CSM2.MR_tasmin_12_ssp126_r1i1p1f1_2061_2080"
"109","BCC.CSM2.MR_tasmin_01_ssp126_ensembleMean_2081_2100"
