"","x"
"1","UKESM1.0.LL_tasmin_01_reference_ensembleMean_1961_1990"
"2","UKESM1.0.LL_tasmin_02_reference_ensembleMean_1961_1990"
"3","UKESM1.0.LL_tasmin_03_reference_ensembleMean_1961_1990"
"4","UKESM1.0.LL_tasmin_04_reference_ensembleMean_1961_1990"
"5","UKESM1.0.LL_tasmin_05_reference_ensembleMean_1961_1990"
"6","UKESM1.0.LL_tasmin_06_reference_ensembleMean_1961_1990"
"7","UKESM1.0.LL_tasmin_07_reference_ensembleMean_1961_1990"
"8","UKESM1.0.LL_tasmin_08_reference_ensembleMean_1961_1990"
"9","UKESM1.0.LL_tasmin_09_reference_ensembleMean_1961_1990"
"10","UKESM1.0.LL_tasmin_10_reference_ensembleMean_1961_1990"
"11","UKESM1.0.LL_tasmin_11_reference_ensembleMean_1961_1990"
"12","UKESM1.0.LL_tasmin_12_reference_ensembleMean_1961_1990"
"13","UKESM1.0.LL_tasmin_01_ssp126_ensembleMean_2001_2020"
"14","UKESM1.0.LL_tasmin_02_ssp126_ensembleMean_2001_2020"
"15","UKESM1.0.LL_tasmin_03_ssp126_ensembleMean_2001_2020"
"16","UKESM1.0.LL_tasmin_04_ssp126_ensembleMean_2001_2020"
"17","UKESM1.0.LL_tasmin_05_ssp126_ensembleMean_2001_2020"
"18","UKESM1.0.LL_tasmin_06_ssp126_ensembleMean_2001_2020"
"19","UKESM1.0.LL_tasmin_07_ssp126_ensembleMean_2001_2020"
"20","UKESM1.0.LL_tasmin_08_ssp126_ensembleMean_2001_2020"
"21","UKESM1.0.LL_tasmin_09_ssp126_ensembleMean_2001_2020"
"22","UKESM1.0.LL_tasmin_10_ssp126_ensembleMean_2001_2020"
"23","UKESM1.0.LL_tasmin_11_ssp126_ensembleMean_2001_2020"
"24","UKESM1.0.LL_tasmin_12_ssp126_ensembleMean_2001_2020"
"25","UKESM1.0.LL_tasmin_01_ssp126_r1i1p1f2_2001_2020"
"26","UKESM1.0.LL_tasmin_01_ssp126_r2i1p1f2_2001_2020"
"27","UKESM1.0.LL_tasmin_01_ssp126_r3i1p1f2_2001_2020"
"28","UKESM1.0.LL_tasmin_01_ssp126_r4i1p1f2_2001_2020"
"29","UKESM1.0.LL_tasmin_01_ssp126_r8i1p1f2_2001_2020"
"30","UKESM1.0.LL_tasmin_02_ssp126_r1i1p1f2_2001_2020"
"31","UKESM1.0.LL_tasmin_02_ssp126_r2i1p1f2_2001_2020"
"32","UKESM1.0.LL_tasmin_02_ssp126_r3i1p1f2_2001_2020"
"33","UKESM1.0.LL_tasmin_02_ssp126_r4i1p1f2_2001_2020"
"34","UKESM1.0.LL_tasmin_02_ssp126_r8i1p1f2_2001_2020"
"35","UKESM1.0.LL_tasmin_03_ssp126_r1i1p1f2_2001_2020"
"36","UKESM1.0.LL_tasmin_03_ssp126_r2i1p1f2_2001_2020"
"37","UKESM1.0.LL_tasmin_03_ssp126_r3i1p1f2_2001_2020"
"38","UKESM1.0.LL_tasmin_03_ssp126_r4i1p1f2_2001_2020"
"39","UKESM1.0.LL_tasmin_03_ssp126_r8i1p1f2_2001_2020"
"40","UKESM1.0.LL_tasmin_04_ssp126_r1i1p1f2_2001_2020"
"41","UKESM1.0.LL_tasmin_04_ssp126_r2i1p1f2_2001_2020"
