"","x"
"1","MIROC6_tasmin_01_reference_ensembleMean_1961_1990"
"2","MIROC6_tasmin_02_reference_ensembleMean_1961_1990"
"3","MIROC6_tasmin_03_reference_ensembleMean_1961_1990"
"4","MIROC6_tasmin_04_reference_ensembleMean_1961_1990"
"5","MIROC6_tasmin_05_reference_ensembleMean_1961_1990"
"6","MIROC6_tasmin_06_reference_ensembleMean_1961_1990"
"7","MIROC6_tasmin_07_reference_ensembleMean_1961_1990"
"8","MIROC6_tasmin_08_reference_ensembleMean_1961_1990"
"9","MIROC6_tasmin_09_reference_ensembleMean_1961_1990"
"10","MIROC6_tasmin_10_reference_ensembleMean_1961_1990"
"11","MIROC6_tasmin_11_reference_ensembleMean_1961_1990"
"12","MIROC6_tasmin_12_reference_ensembleMean_1961_1990"
"13","MIROC6_tasmin_01_ssp126_ensembleMean_2001_2020"
"14","MIROC6_tasmin_02_ssp126_ensembleMean_2001_2020"
"15","MIROC6_tasmin_03_ssp126_ensembleMean_2001_2020"
"16","MIROC6_tasmin_04_ssp126_ensembleMean_2001_2020"
"17","MIROC6_tasmin_05_ssp126_ensembleMean_2001_2020"
"18","MIROC6_tasmin_06_ssp126_ensembleMean_2001_2020"
"19","MIROC6_tasmin_07_ssp126_ensembleMean_2001_2020"
"20","MIROC6_tasmin_08_ssp126_ensembleMean_2001_2020"
"21","MIROC6_tasmin_09_ssp126_ensembleMean_2001_2020"
"22","MIROC6_tasmin_10_ssp126_ensembleMean_2001_2020"
"23","MIROC6_tasmin_11_ssp126_ensembleMean_2001_2020"
"24","MIROC6_tasmin_12_ssp126_ensembleMean_2001_2020"
"25","MIROC6_tasmin_01_ssp126_r10i1p1f1_2001_2020"
"26","MIROC6_tasmin_01_ssp126_r1i1p1f1_2001_2020"
"27","MIROC6_tasmin_01_ssp126_r2i1p1f1_2001_2020"
"28","MIROC6_tasmin_01_ssp126_r3i1p1f1_2001_2020"
"29","MIROC6_tasmin_01_ssp126_r4i1p1f1_2001_2020"
"30","MIROC6_tasmin_01_ssp126_r5i1p1f1_2001_2020"
"31","MIROC6_tasmin_01_ssp126_r6i1p1f1_2001_2020"
"32","MIROC6_tasmin_01_ssp126_r7i1p1f1_2001_2020"
"33","MIROC6_tasmin_01_ssp126_r8i1p1f1_2001_2020"
"34","MIROC6_tasmin_01_ssp126_r9i1p1f1_2001_2020"
"35","MIROC6_tasmin_02_ssp126_r10i1p1f1_2001_2020"
"36","MIROC6_tasmin_02_ssp126_r1i1p1f1_2001_2020"
"37","MIROC6_tasmin_02_ssp126_r2i1p1f1_2001_2020"
"38","MIROC6_tasmin_02_ssp126_r3i1p1f1_2001_2020"
"39","MIROC6_tasmin_02_ssp126_r4i1p1f1_2001_2020"
"40","MIROC6_tasmin_02_ssp126_r5i1p1f1_2001_2020"
"41","MIROC6_tasmin_02_ssp126_r6i1p1f1_2001_2020"
"42","MIROC6_tasmin_02_ssp126_r7i1p1f1_2001_2020"
"43","MIROC6_tasmin_02_ssp126_r8i1p1f1_2001_2020"
"44","MIROC6_tasmin_02_ssp126_r9i1p1f1_2001_2020"
