"","x"
"1","INM.CM5.0_pr_01_reference_ensembleMean_1961_1990"
"2","INM.CM5.0_pr_02_reference_ensembleMean_1961_1990"
"3","INM.CM5.0_pr_03_reference_ensembleMean_1961_1990"
"4","INM.CM5.0_pr_04_reference_ensembleMean_1961_1990"
"5","INM.CM5.0_pr_05_reference_ensembleMean_1961_1990"
"6","INM.CM5.0_pr_06_reference_ensembleMean_1961_1990"
"7","INM.CM5.0_pr_07_reference_ensembleMean_1961_1990"
"8","INM.CM5.0_pr_08_reference_ensembleMean_1961_1990"
"9","INM.CM5.0_pr_09_reference_ensembleMean_1961_1990"
"10","INM.CM5.0_pr_10_reference_ensembleMean_1961_1990"
"11","INM.CM5.0_pr_11_reference_ensembleMean_1961_1990"
"12","INM.CM5.0_pr_12_reference_ensembleMean_1961_1990"
"13","INM.CM5.0_pr_01_ssp126_ensembleMean_2001_2020"
"14","INM.CM5.0_pr_02_ssp126_ensembleMean_2001_2020"
"15","INM.CM5.0_pr_03_ssp126_ensembleMean_2001_2020"
"16","INM.CM5.0_pr_04_ssp126_ensembleMean_2001_2020"
"17","INM.CM5.0_pr_05_ssp126_ensembleMean_2001_2020"
"18","INM.CM5.0_pr_06_ssp126_ensembleMean_2001_2020"
"19","INM.CM5.0_pr_07_ssp126_ensembleMean_2001_2020"
"20","INM.CM5.0_pr_08_ssp126_ensembleMean_2001_2020"
"21","INM.CM5.0_pr_09_ssp126_ensembleMean_2001_2020"
"22","INM.CM5.0_pr_10_ssp126_ensembleMean_2001_2020"
"23","INM.CM5.0_pr_11_ssp126_ensembleMean_2001_2020"
"24","INM.CM5.0_pr_12_ssp126_ensembleMean_2001_2020"
"25","INM.CM5.0_pr_01_ssp126_r1i1p1f1_2001_2020"
"26","INM.CM5.0_pr_02_ssp126_r1i1p1f1_2001_2020"
"27","INM.CM5.0_pr_03_ssp126_r1i1p1f1_2001_2020"
"28","INM.CM5.0_pr_04_ssp126_r1i1p1f1_2001_2020"
"29","INM.CM5.0_pr_05_ssp126_r1i1p1f1_2001_2020"
"30","INM.CM5.0_pr_06_ssp126_r1i1p1f1_2001_2020"
"31","INM.CM5.0_pr_07_ssp126_r1i1p1f1_2001_2020"
"32","INM.CM5.0_pr_08_ssp126_r1i1p1f1_2001_2020"
"33","INM.CM5.0_pr_09_ssp126_r1i1p1f1_2001_2020"
"34","INM.CM5.0_pr_10_ssp126_r1i1p1f1_2001_2020"
"35","INM.CM5.0_pr_11_ssp126_r1i1p1f1_2001_2020"
"36","INM.CM5.0_pr_12_ssp126_r1i1p1f1_2001_2020"
"37","INM.CM5.0_pr_01_ssp126_ensembleMean_2021_2040"
"38","INM.CM5.0_pr_02_ssp126_ensembleMean_2021_2040"
"39","INM.CM5.0_pr_03_ssp126_ensembleMean_2021_2040"
"40","INM.CM5.0_pr_04_ssp126_ensembleMean_2021_2040"
"41","INM.CM5.0_pr_05_ssp126_ensembleMean_2021_2040"
"42","INM.CM5.0_pr_06_ssp126_ensembleMean_2021_2040"
"43","INM.CM5.0_pr_07_ssp126_ensembleMean_2021_2040"
"44","INM.CM5.0_pr_08_ssp126_ensembleMean_2021_2040"
"45","INM.CM5.0_pr_09_ssp126_ensembleMean_2021_2040"
"46","INM.CM5.0_pr_10_ssp126_ensembleMean_2021_2040"
"47","INM.CM5.0_pr_11_ssp126_ensembleMean_2021_2040"
"48","INM.CM5.0_pr_12_ssp126_ensembleMean_2021_2040"
