"","x"
"1","MPI.ESM1.2.HR_pr_01_reference_ensembleMean_1961_1990"
"2","MPI.ESM1.2.HR_pr_02_reference_ensembleMean_1961_1990"
"3","MPI.ESM1.2.HR_pr_03_reference_ensembleMean_1961_1990"
"4","MPI.ESM1.2.HR_pr_04_reference_ensembleMean_1961_1990"
"5","MPI.ESM1.2.HR_pr_05_reference_ensembleMean_1961_1990"
"6","MPI.ESM1.2.HR_pr_06_reference_ensembleMean_1961_1990"
"7","MPI.ESM1.2.HR_pr_07_reference_ensembleMean_1961_1990"
"8","MPI.ESM1.2.HR_pr_08_reference_ensembleMean_1961_1990"
"9","MPI.ESM1.2.HR_pr_09_reference_ensembleMean_1961_1990"
"10","MPI.ESM1.2.HR_pr_10_reference_ensembleMean_1961_1990"
"11","MPI.ESM1.2.HR_pr_11_reference_ensembleMean_1961_1990"
"12","MPI.ESM1.2.HR_pr_12_reference_ensembleMean_1961_1990"
"13","MPI.ESM1.2.HR_pr_01_ssp126_ensembleMean_2001_2020"
"14","MPI.ESM1.2.HR_pr_02_ssp126_ensembleMean_2001_2020"
"15","MPI.ESM1.2.HR_pr_03_ssp126_ensembleMean_2001_2020"
"16","MPI.ESM1.2.HR_pr_04_ssp126_ensembleMean_2001_2020"
"17","MPI.ESM1.2.HR_pr_05_ssp126_ensembleMean_2001_2020"
"18","MPI.ESM1.2.HR_pr_06_ssp126_ensembleMean_2001_2020"
"19","MPI.ESM1.2.HR_pr_07_ssp126_ensembleMean_2001_2020"
"20","MPI.ESM1.2.HR_pr_08_ssp126_ensembleMean_2001_2020"
"21","MPI.ESM1.2.HR_pr_09_ssp126_ensembleMean_2001_2020"
"22","MPI.ESM1.2.HR_pr_10_ssp126_ensembleMean_2001_2020"
"23","MPI.ESM1.2.HR_pr_11_ssp126_ensembleMean_2001_2020"
"24","MPI.ESM1.2.HR_pr_12_ssp126_ensembleMean_2001_2020"
"25","MPI.ESM1.2.HR_pr_01_ssp126_r1i1p1f1_2001_2020"
"26","MPI.ESM1.2.HR_pr_01_ssp126_r2i1p1f1_2001_2020"
"27","MPI.ESM1.2.HR_pr_02_ssp126_r1i1p1f1_2001_2020"
"28","MPI.ESM1.2.HR_pr_02_ssp126_r2i1p1f1_2001_2020"
"29","MPI.ESM1.2.HR_pr_03_ssp126_r1i1p1f1_2001_2020"
"30","MPI.ESM1.2.HR_pr_03_ssp126_r2i1p1f1_2001_2020"
"31","MPI.ESM1.2.HR_pr_04_ssp126_r1i1p1f1_2001_2020"
"32","MPI.ESM1.2.HR_pr_04_ssp126_r2i1p1f1_2001_2020"
"33","MPI.ESM1.2.HR_pr_05_ssp126_r1i1p1f1_2001_2020"
"34","MPI.ESM1.2.HR_pr_05_ssp126_r2i1p1f1_2001_2020"
"35","MPI.ESM1.2.HR_pr_06_ssp126_r1i1p1f1_2001_2020"
"36","MPI.ESM1.2.HR_pr_06_ssp126_r2i1p1f1_2001_2020"
"37","MPI.ESM1.2.HR_pr_07_ssp126_r1i1p1f1_2001_2020"
"38","MPI.ESM1.2.HR_pr_07_ssp126_r2i1p1f1_2001_2020"
"39","MPI.ESM1.2.HR_pr_08_ssp126_r1i1p1f1_2001_2020"
"40","MPI.ESM1.2.HR_pr_08_ssp126_r2i1p1f1_2001_2020"
"41","MPI.ESM1.2.HR_pr_09_ssp126_r1i1p1f1_2001_2020"
"42","MPI.ESM1.2.HR_pr_09_ssp126_r2i1p1f1_2001_2020"
"43","MPI.ESM1.2.HR_pr_10_ssp126_r1i1p1f1_2001_2020"
"44","MPI.ESM1.2.HR_pr_10_ssp126_r2i1p1f1_2001_2020"
"45","MPI.ESM1.2.HR_pr_11_ssp126_r1i1p1f1_2001_2020"
"46","MPI.ESM1.2.HR_pr_11_ssp126_r2i1p1f1_2001_2020"
"47","MPI.ESM1.2.HR_pr_12_ssp126_r1i1p1f1_2001_2020"
"48","MPI.ESM1.2.HR_pr_12_ssp126_r2i1p1f1_2001_2020"
"49","MPI.ESM1.2.HR_pr_01_ssp126_ensembleMean_2021_2040"
"50","MPI.ESM1.2.HR_pr_02_ssp126_ensembleMean_2021_2040"
"51","MPI.ESM1.2.HR_pr_03_ssp126_ensembleMean_2021_2040"
"52","MPI.ESM1.2.HR_pr_04_ssp126_ensembleMean_2021_2040"
"53","MPI.ESM1.2.HR_pr_05_ssp126_ensembleMean_2021_2040"
"54","MPI.ESM1.2.HR_pr_06_ssp126_ensembleMean_2021_2040"
"55","MPI.ESM1.2.HR_pr_07_ssp126_ensembleMean_2021_2040"
"56","MPI.ESM1.2.HR_pr_08_ssp126_ensembleMean_2021_2040"
"57","MPI.ESM1.2.HR_pr_09_ssp126_ensembleMean_2021_2040"
"58","MPI.ESM1.2.HR_pr_10_ssp126_ensembleMean_2021_2040"
"59","MPI.ESM1.2.HR_pr_11_ssp126_ensembleMean_2021_2040"
"60","MPI.ESM1.2.HR_pr_12_ssp126_ensembleMean_2021_2040"
"61","MPI.ESM1.2.HR_pr_01_ssp126_r1i1p1f1_2021_2040"
"62","MPI.ESM1.2.HR_pr_01_ssp126_r2i1p1f1_2021_2040"
"63","MPI.ESM1.2.HR_pr_02_ssp126_r1i1p1f1_2021_2040"
"64","MPI.ESM1.2.HR_pr_02_ssp126_r2i1p1f1_2021_2040"
"65","MPI.ESM1.2.HR_pr_03_ssp126_r1i1p1f1_2021_2040"
"66","MPI.ESM1.2.HR_pr_03_ssp126_r2i1p1f1_2021_2040"
"67","MPI.ESM1.2.HR_pr_04_ssp126_r1i1p1f1_2021_2040"
"68","MPI.ESM1.2.HR_pr_04_ssp126_r2i1p1f1_2021_2040"
"69","MPI.ESM1.2.HR_pr_05_ssp126_r1i1p1f1_2021_2040"
"70","MPI.ESM1.2.HR_pr_05_ssp126_r2i1p1f1_2021_2040"
"71","MPI.ESM1.2.HR_pr_06_ssp126_r1i1p1f1_2021_2040"
"72","MPI.ESM1.2.HR_pr_06_ssp126_r2i1p1f1_2021_2040"
"73","MPI.ESM1.2.HR_pr_07_ssp126_r1i1p1f1_2021_2040"
"74","MPI.ESM1.2.HR_pr_07_ssp126_r2i1p1f1_2021_2040"
"75","MPI.ESM1.2.HR_pr_08_ssp126_r1i1p1f1_2021_2040"
"76","MPI.ESM1.2.HR_pr_08_ssp126_r2i1p1f1_2021_2040"
"77","MPI.ESM1.2.HR_pr_09_ssp126_r1i1p1f1_2021_2040"
"78","MPI.ESM1.2.HR_pr_09_ssp126_r2i1p1f1_2021_2040"
"79","MPI.ESM1.2.HR_pr_10_ssp126_r1i1p1f1_2021_2040"
"80","MPI.ESM1.2.HR_pr_10_ssp126_r2i1p1f1_2021_2040"
"81","MPI.ESM1.2.HR_pr_11_ssp126_r1i1p1f1_2021_2040"
"82","MPI.ESM1.2.HR_pr_11_ssp126_r2i1p1f1_2021_2040"
"83","MPI.ESM1.2.HR_pr_12_ssp126_r1i1p1f1_2021_2040"
"84","MPI.ESM1.2.HR_pr_12_ssp126_r2i1p1f1_2021_2040"
"85","MPI.ESM1.2.HR_pr_01_ssp126_ensembleMean_2041_2060"
"86","MPI.ESM1.2.HR_pr_02_ssp126_ensembleMean_2041_2060"
"87","MPI.ESM1.2.HR_pr_03_ssp126_ensembleMean_2041_2060"
"88","MPI.ESM1.2.HR_pr_04_ssp126_ensembleMean_2041_2060"
"89","MPI.ESM1.2.HR_pr_05_ssp126_ensembleMean_2041_2060"
"90","MPI.ESM1.2.HR_pr_06_ssp126_ensembleMean_2041_2060"
"91","MPI.ESM1.2.HR_pr_07_ssp126_ensembleMean_2041_2060"
"92","MPI.ESM1.2.HR_pr_08_ssp126_ensembleMean_2041_2060"
"93","MPI.ESM1.2.HR_pr_09_ssp126_ensembleMean_2041_2060"
"94","MPI.ESM1.2.HR_pr_10_ssp126_ensembleMean_2041_2060"
"95","MPI.ESM1.2.HR_pr_11_ssp126_ensembleMean_2041_2060"
"96","MPI.ESM1.2.HR_pr_12_ssp126_ensembleMean_2041_2060"
"97","MPI.ESM1.2.HR_pr_01_ssp126_r1i1p1f1_2041_2060"
"98","MPI.ESM1.2.HR_pr_01_ssp126_r2i1p1f1_2041_2060"
"99","MPI.ESM1.2.HR_pr_02_ssp126_r1i1p1f1_2041_2060"
"100","MPI.ESM1.2.HR_pr_02_ssp126_r2i1p1f1_2041_2060"
"101","MPI.ESM1.2.HR_pr_03_ssp126_r1i1p1f1_2041_2060"
